"CENTER_ID","CENTER_NAME","CITY","STATE_CODE","LATITUDE","LONGITUDE","ENTITY_ID","ROUTE_NAME","ROUTE_POSITION"
17,"Los Angeles Truck Service","Los Angeles","CA",34.0522,-118.2437,"TRUCK_001","LA to NYC via I-40/I-81",0
2,"Albuquerque Fleet Center","Albuquerque","NM",35.0844,-106.6504,"TRUCK_001","LA to NYC via I-40/I-81",1
3,"Oklahoma City Diesel","Oklahoma City","OK",35.4676,-97.5164,"TRUCK_001","LA to NYC via I-40/I-81",2
4,"Memphis Truck Stop","Memphis","TN",35.1495,-90.049,"TRUCK_001","LA to NYC via I-40/I-81",4
5,"Nashville Fleet Services","Nashville","TN",36.1627,-86.7816,"TRUCK_001","LA to NYC via I-40/I-81",5
13,"Charlotte Fleet Services","Charlotte","NC",35.2271,-80.8431,"TRUCK_001","LA to NYC via I-40/I-81",6
23,"New York Fleet Center","New York","NY",40.7128,-74.006,"TRUCK_001","LA to NYC via I-40/I-81",8
21,"Seattle Truck Center","Seattle","WA",47.6062,-122.3321,"TRUCK_002","Seattle to Miami via I-90/I-75",0
11,"Chicago Truck Center","Chicago","IL",41.8781,-87.6298,"TRUCK_002","Seattle to Miami via I-90/I-75",5
12,"Indianapolis Diesel","Indianapolis","IN",39.7684,-86.1581,"TRUCK_002","Seattle to Miami via I-90/I-75",6
5,"Nashville Fleet Services","Nashville","TN",36.1627,-86.7816,"TRUCK_002","Seattle to Miami via I-90/I-75",7
6,"Atlanta Truck Center","Atlanta","GA",33.749,-84.388,"TRUCK_002","Seattle to Miami via I-90/I-75",8
14,"Jacksonville Truck Stop","Jacksonville","FL",30.3322,-81.6557,"TRUCK_002","Seattle to Miami via I-90/I-75",9
20,"Cleveland Fleet Services","Cleveland","OH",41.4993,-81.6944,"TRUCK_003","Boston to San Diego via I-80/I-15",0
20,"Cleveland Fleet Services","Cleveland","OH",41.4993,-81.6944,"TRUCK_003","Boston to San Diego via I-80/I-15",1
11,"Chicago Truck Center","Chicago","IL",41.8781,-87.6298,"TRUCK_003","Boston to San Diego via I-80/I-15",2
9,"Denver Truck Service","Denver","CO",39.7392,-104.9903,"TRUCK_003","Boston to San Diego via I-80/I-15",5
16,"Salt Lake Fleet","Salt Lake City","UT",40.7608,-111.891,"TRUCK_003","Boston to San Diego via I-80/I-15",7
