"CENTER_ID","NAME","CITY","STATE_CODE","LATITUDE","LONGITUDE","CAPABILITIES","AVAILABLE_BAYS","NODE_ID"
1,"Phoenix Truck Service","Phoenix","AZ",33.4484,-112.074,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",6,"PHX"
2,"Albuquerque Fleet Center","Albuquerque","NM",35.0844,-106.6504,"[""ENGINE"",""TRANSMISSION""]",4,"ABQ"
3,"Oklahoma City Diesel","Oklahoma City","OK",35.4676,-97.5164,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",5,"OKC"
4,"Memphis Truck Stop","Memphis","TN",35.1495,-90.049,"[""ENGINE"",""ELECTRICAL""]",4,"MEM"
5,"Nashville Fleet Services","Nashville","TN",36.1627,-86.7816,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",6,"NSH"
6,"Atlanta Truck Center","Atlanta","GA",33.749,-84.388,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",8,"ATL"
7,"Dallas Heavy Duty","Dallas","TX",32.7767,-96.797,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",5,"DAL"
8,"Houston Fleet Repair","Houston","TX",29.7604,-95.3698,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",7,"HOU"
10,"Kansas City Fleet","Kansas City","MO",39.0997,-94.5786,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",4,"KCI"
11,"Chicago Truck Center","Chicago","IL",41.8781,-87.6298,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",10,"CHI"
12,"Indianapolis Diesel","Indianapolis","IN",39.7684,-86.1581,"[""ENGINE"",""TRANSMISSION""]",5,"IND"
13,"Charlotte Fleet Services","Charlotte","NC",35.2271,-80.8431,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",6,"CLT"
14,"Jacksonville Truck Stop","Jacksonville","FL",30.3322,-81.6557,"[""ENGINE"",""ELECTRICAL""]",4,"JAX"
9,"Denver Truck Service","Denver","CO",39.7392,-104.9903,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",4,"DEN"
15,"Las Vegas Truck Center","Las Vegas","NV",36.1699,-115.1398,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",4,"LVS"
16,"Salt Lake Fleet","Salt Lake City","UT",40.7608,-111.891,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",5,"SLC"
17,"Los Angeles Truck Service","Los Angeles","CA",34.0522,-118.2437,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",8,"LAX"
18,"San Antonio Fleet","San Antonio","TX",29.4241,-98.4936,"[""ENGINE"",""TRANSMISSION""]",4,"SAT"
19,"St Louis Truck Center","St Louis","MO",38.627,-90.1994,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",5,"STL"
20,"Cleveland Fleet Services","Cleveland","OH",41.4993,-81.6944,"[""ENGINE"",""ELECTRICAL""]",4,"CLE"
21,"Seattle Truck Center","Seattle","WA",47.6062,-122.3321,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",4,"SEA"
22,"Portland Fleet Services","Portland","OR",45.5152,-122.6784,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",4,"PDX"
23,"New York Fleet Center","New York","NY",40.7128,-74.006,"[""ENGINE"",""TRANSMISSION"",""ELECTRICAL""]",6,"NYC"
