"ENTITY_ID","SEQUENCE_NUM","NODE_ID","CUMULATIVE_MILES"
"TRUCK_001",0,"LAX",0
"TRUCK_001",1,"ABQ",790
"TRUCK_001",2,"OKC",1330
"TRUCK_001",3,"LIT",1670
"TRUCK_001",4,"MEM",1805
"TRUCK_001",5,"NSH",2015
"TRUCK_001",6,"CLT",2425
"TRUCK_001",7,"DCA",2765
"TRUCK_001",8,"NYC",3015
"TRUCK_002",0,"SEA",0
"TRUCK_002",1,"SPO",280
"TRUCK_002",2,"BIL",710
"TRUCK_002",3,"SDF",1175
"TRUCK_002",4,"DSM",1565
"TRUCK_002",5,"CHI",1895
"TRUCK_002",6,"IND",2080
"TRUCK_002",7,"NSH",2370
"TRUCK_002",8,"ATL",2620
"TRUCK_002",9,"JAX",2965
"TRUCK_002",10,"MIA",3310
"TRUCK_003",0,"CLE",0
"TRUCK_003",1,"CLE",640
"TRUCK_003",2,"CHI",985
"TRUCK_003",3,"DSM",1315
"TRUCK_003",4,"OMA",1455
"TRUCK_003",5,"DEN",1995
"TRUCK_003",6,"CHY",2095
"TRUCK_003",7,"SLC",2535
"TRUCK_003",8,"LVS",2955
"TRUCK_003",9,"LAX",3225
"TRUCK_003",10,"SDG",3345
"TRUCK_004",0,"MSP",0
"TRUCK_004",1,"DSM",245
"TRUCK_004",2,"KCI",440
"TRUCK_004",3,"OKC",795
"TRUCK_004",4,"DAL",1000
"TRUCK_004",5,"SAT",1275
"TRUCK_004",6,"HOU",1475
"TRUCK_005",0,"PDX",0
"TRUCK_005",1,"BOI",430
"TRUCK_005",2,"SLC",770
"TRUCK_005",3,"CHY",1210
"TRUCK_005",4,"DEN",1310
"TRUCK_005",5,"KCI",1910
"TRUCK_005",6,"STL",2160
"TRUCK_005",7,"CIN",2515
"TRUCK_005",8,"NSH",2785
"TRUCK_005",9,"ATL",3035
"TRUCK_006",0,"SFO",0
"TRUCK_006",1,"SAC",90
"TRUCK_006",2,"RNO",225
"TRUCK_006",3,"SLC",745
"TRUCK_006",4,"CHY",1185
"TRUCK_006",5,"DEN",1285
"TRUCK_006",6,"OMA",1825
"TRUCK_006",7,"DSM",1965
"TRUCK_006",8,"CHI",2295
"TRUCK_006",9,"CLE",2640
"TRUCK_006",10,"BOS",3280
"TRUCK_007",0,"SEA",0
"TRUCK_007",1,"PDX",175
"TRUCK_007",2,"SAC",755
"TRUCK_007",3,"LAX",1140
"TRUCK_007",4,"PHX",1510
"TRUCK_008",0,"PIT",0
"TRUCK_008",1,"PIT",370
"TRUCK_008",2,"CLE",505
"TRUCK_008",3,"CHI",850
"TRUCK_008",4,"DSM",1180
"TRUCK_008",5,"OMA",1320
"TRUCK_008",6,"DEN",1860
"TRUCK_008",7,"CHY",1960
"TRUCK_008",8,"SLC",2400
"TRUCK_008",9,"LVS",2820
"TRUCK_008",10,"LAX",3090
"TRUCK_009",0,"MIA",0
"TRUCK_009",1,"JAX",345
"TRUCK_009",2,"ATL",690
"TRUCK_009",3,"NSH",940
"TRUCK_009",4,"IND",1230
"TRUCK_009",5,"CHI",1415
"TRUCK_009",6,"DSM",1745
"TRUCK_009",7,"SDF",2135
"TRUCK_009",8,"BIL",2600
"TRUCK_009",9,"SPO",3030
"TRUCK_009",10,"SEA",3310
"TRUCK_010",0,"DEN",0
"TRUCK_010",1,"KCI",600
"TRUCK_010",2,"STL",850
"TRUCK_010",3,"IND",1090
"TRUCK_010",4,"NSH",1380
"TRUCK_010",5,"ATL",1630
"TRUCK_010",6,"JAX",1975
